Serial 	FileName 	SBD 	MaDe 	BaiLam
1	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001.jpg	00012220	0004	BCAABBDBCDBD____________________________          
2	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_1.jpg	00012260	0001	DDBBADCBDDBB____________________________          
3	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_10.jpg	00012001	0002	DDBBBBACADAC____________________________          
4	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_11.jpg	________	____	BADADCDCCBCB____________________________          
5	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_12.jpg	00012523	0003	BADADCDCBBCB____________________________          
6	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_13.jpg	00012554	0003	BADADCDCBBCB____________________________          
7	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_14.jpg	00012581	0003	BADADCDCBBCB____________________________          
8	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_15.jpg	00012628	0001	DDBCACCBDDBB____________________________          
9	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_16.jpg	00012637	0003	BADADCDCBBCB____________________________          
10	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_17.jpg	00012670	0001	DDBCACCBDDBB____________________________          
11	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_18.jpg	00012045	0003	BADADCDCBBCB____________________________          
12	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_19.jpg	00012078	0001	DDBCACCBDDBB____________________________          
13	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_2.jpg	00012277	0002	DDBBBBACADAC____________________________          
14	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_20.jpg	00012103	0003	AADADCDCBBCB____________________________          
15	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\001_21.jpg	00012107	0003	BADADCDCBBCB____________________________          
